time_s,temperature_c,setpoint_c,equipment_state,requested_cooling_fraction,cooling_fraction,start_command,stop_command,flow_proven,reset_command
0.0,14.0,7.0,OFF,1.0,0.0,False,False,False,False
10.0,14.07177033492823,7.0,OFF,1.0,0.0,False,False,False,False
20.0,14.14354066985646,7.0,OFF,1.0,0.0,False,False,False,False
30.0,14.21531100478469,7.0,OFF,1.0,0.0,False,False,False,False
40.0,14.28708133971292,7.0,OFF,1.0,0.0,False,False,False,False
50.0,14.35885167464115,7.0,OFF,1.0,0.0,False,False,False,False
60.0,14.43062200956938,7.0,STARTING,1.0,0.0,True,False,False,False
70.0,14.50239234449761,7.0,STARTING,1.0,0.0,False,False,False,False
80.0,14.57416267942584,7.0,RUNNING,1.0,1.0,False,False,True,False
90.0,14.406698564593304,7.0,RUNNING,1.0,1.0,False,False,True,False
100.0,14.239234449760769,7.0,RUNNING,1.0,1.0,False,False,True,False
110.0,14.071770334928233,7.0,RUNNING,1.0,1.0,False,False,True,False
120.0,13.904306220095698,7.0,RUNNING,1.0,1.0,False,False,True,False
130.0,13.736842105263163,7.0,RUNNING,1.0,1.0,False,False,True,False
140.0,13.569377990430628,7.0,RUNNING,1.0,1.0,False,False,True,False
150.0,13.401913875598092,7.0,RUNNING,1.0,1.0,False,False,True,False
160.0,13.234449760765557,7.0,RUNNING,1.0,1.0,False,False,True,False
170.0,13.066985645933022,7.0,RUNNING,1.0,1.0,False,False,True,False
180.0,12.899521531100486,7.0,RUNNING,1.0,1.0,False,False,True,False
190.0,12.732057416267951,7.0,RUNNING,1.0,1.0,False,False,True,False
200.0,12.564593301435416,7.0,RUNNING,1.0,1.0,False,False,True,False
210.0,12.39712918660288,7.0,RUNNING,1.0,1.0,False,False,True,False
220.0,12.229665071770345,7.0,RUNNING,1.0,1.0,False,False,True,False
230.0,12.06220095693781,7.0,RUNNING,1.0,1.0,False,False,True,False
240.0,11.894736842105274,7.0,RUNNING,1.0,1.0,False,False,True,False
250.0,11.727272727272739,7.0,RUNNING,1.0,1.0,False,False,True,False
260.0,11.559808612440204,7.0,RUNNING,1.0,1.0,False,False,True,False
270.0,11.392344497607668,7.0,RUNNING,1.0,1.0,False,False,True,False
280.0,11.224880382775133,7.0,RUNNING,1.0,1.0,False,False,True,False
290.0,11.057416267942598,7.0,RUNNING,1.0,1.0,False,False,True,False
300.0,10.889952153110062,7.0,RUNNING,1.0,1.0,False,False,True,False
310.0,10.722488038277527,7.0,RUNNING,1.0,1.0,False,False,True,False
320.0,10.555023923444992,7.0,RUNNING,1.0,1.0,False,False,True,False
330.0,10.387559808612457,7.0,RUNNING,1.0,1.0,False,False,True,False
340.0,10.220095693779921,7.0,RUNNING,0.9660287081339763,0.9660287081339763,False,False,True,False
350.0,10.060758682264616,7.0,RUNNING,0.9182276046793848,0.9182276046793848,False,False,True,False
