time_s,supply_temperature_c,return_temperature_c,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
0.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
10.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
20.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
30.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
40.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
50.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
60.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
70.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
80.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
90.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
100.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
110.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
120.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
130.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
140.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
150.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
160.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
170.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
180.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
190.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
200.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
210.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
220.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
230.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
240.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
250.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
260.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
270.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
280.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
290.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
300.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
310.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
320.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
330.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
340.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
350.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
360.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
370.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
380.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
390.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
400.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
410.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
420.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
430.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
440.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
450.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
460.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
470.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
480.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
490.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
500.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
510.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
520.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
530.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
540.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
550.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
560.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
570.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
580.0,8.0,9.435406698564593,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
