time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,simulink_heat_load_kw,simulink_cooling_kw,simulink_flow_heat_transfer_kw
0,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
10,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
20,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
30,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
40,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
50,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
60,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
70,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
80,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
90,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
100,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
110,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
120,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
130,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
140,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
150,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
160,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
170,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
180,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
190,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
200,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
210,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
220,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
230,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
240,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
250,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
260,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
270,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
280,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
290,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
300,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
310,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
320,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
330,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
340,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
350,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
360,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
370,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
380,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
390,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
400,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
410,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
420,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
430,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
440,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
450,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
460,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
470,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
480,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
490,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
500,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
510,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
520,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
530,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
540,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
550,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
560,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
570,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
580,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
590,8,8,0,9.43540669856459,9.43540669856459,0,30,30,30
600,8,8,0,9.43540669856459,9.43540669856459,0,50,30,30
610,8,8,0,9.5311004784689,9.5311004784689,0,50,30,32
620,8.00956937799043,8.00956937799043,0,9.61722488038277,9.61722488038277,0,50,30.2870813397129,33.6
630,8.02542066344635,8.02542066344635,0,9.69569377990431,9.69569377990431,0,50,30.7626199033905,34.9087081339713
640,8.0452584061764,8.0452584061764,0,9.76790091801928,9.76790091801928,0,50,31.357752185292,36.0032284975161
650,8.06748556556503,8.06748556556503,0,9.83487111659575,9.83487111659575,0,50,32.024566966951,36.9383580165421
660,8.0909965275248,8.0909965275248,0,9.89736701125345,9.89736701125345,0,50,32.729895825744,37.7531431099288
670,8.11503120352568,8.11503120352568,0,9.95596441264135,9.95596441264135,0,50,33.4509361057705,38.4755040705174
680,8.13907219857232,8.13907219857232,0,10.0111055414905,10.0111055414905,0,50,34.1721659571696,39.125496866991
690,8.1627723464662,8.1627723464662,0,10.0631366569595,10.0631366569595,0,50,34.8831703939861,39.7176140893097
700,8.1859036560132,8.1859036560132,0,10.1123346756709,10.1123346756709,0,50,35.5771096803961,40.2624083108464
710,8.20832135280962,8.20832135280962,0,10.1589260234659,10.1589260234659,0,50,36.2496405842885,40.7676376167168
720,8.22993856349109,8.22993856349109,0,10.2031000061611,10.2031000061611,0,50,36.8981569047328,41.2390741518022
730,8.25070850247229,8.25070850247229,0,10.2450183116548,10.2450183116548,0,50,37.5212550741686,41.6810750119151
740,8.2706119471505,8.2706119471505,0,10.2848217804973,10.2848217804973,0,50,38.118358414515,42.0969855169489
750,8.28964844046358,8.28964844046358,0,10.3226352469234,10.3226352469234,0,50,38.6894532139074,42.4894242550106
760,8.30783012008608,8.30783012008608,0,10.3585710160382,10.3585710160382,0,50,39.2349036025825,42.8604847253992
770,8.32517739818569,8.32517739818569,0,10.3927313762038,10.3927313762038,0,50,39.7553219455706,43.2118781405776
780,8.34171594457328,8.34171594457328,0,10.4252104281627,10.4252104281627,0,50,40.2514783371984,43.5450347070192
790,8.35747458749108,8.35747458749108,0,10.4560954295645,10.4560954295645,0,50,40.7242376247324,43.8611755993352
800,8.37248386009684,8.37248386009684,0,10.485467795118,10.485467795118,0,50,41.1745158029051,44.1613642419414
810,8.38677500095347,8.38677500095347,0,10.5134038513766,10.5134038513766,0,50,41.6032500286041,44.4465429738436
820,8.40037927341873,8.40037927341873,0,10.5399754160951,10.5399754160951,0,50,42.0113782025619,44.7175593819353
830,8.41332750872674,8.41332750872674,0,10.5652502515882,10.5652502515882,0,50,42.3998252618021,44.9751853258044
840,8.42564980568369,8.42564980568369,0,10.5892924270628,10.5892924270628,0,50,42.7694941705106,45.2201307868237
850,8.43737533973303,8.43737533973303,0,10.6121626146857,10.6121626146857,0,50,43.121260191991,45.45305404651
860,8.44853224812786,8.44853224812786,0,10.6339183369512,10.6339183369512,0,50,43.4559674438358,45.6745692564071
870,8.45914756780523,8.45914756780523,0,10.6546141778296,10.6546141778296,0,50,43.774427034157,45.8852521495093
880,8.46924720950548,8.46924720950548,0,10.6743019665879,10.6743019665879,0,50,44.0774162851645,46.0856444230231
890,8.47885595657658,8.47885595657658,0,10.6930309406405,10.6930309406405,0,50,44.3656786972973,46.276257166935
900,8.48799748035475,8.48799748035475,0,10.7108478919948,10.7108478919948,0,50,44.6399244106424,46.4575736032777
910,8.49669436644391,8.49669436644391,0,10.7277973005916,10.7277973005916,0,50,44.9008309933173,46.6300513236864
920,8.50496814792893,8.50496814792893,0,10.7439214569376,10.7439214569376,0,50,45.1490444378679,46.7941241582809
930,8.51283934276344,8.51283934276344,0,10.7592605757975,10.7592605757975,0,50,45.3851802829033,46.9502037704115
940,8.52032749342138,8.52032749342138,0,10.7738529022548,10.7738529022548,0,50,45.6098248026413,47.0986810446195
950,8.52745120749783,8.52745120749783,0,10.7877348111323,10.7877348111323,0,50,45.8235362249348,47.2399273159597
960,8.53422819836398,8.53422819836398,0,10.8009409005296,10.8009409005296,0,50,46.0268459509193,47.3742954752613
970,8.5406753252747,8.5406753252747,0,10.8135040800738,10.8135040800738,0,50,46.2202597582411,47.5021209753009
980,8.54680863253336,8.54680863253336,0,10.8254556543546,10.8254556543546,0,50,46.4042589760009,47.6237227560649
990,8.5526433874619,8.5526433874619,0,10.8368254019333,10.8368254019333,0,50,46.579301623857,47.739404102452
1000,8.55819411702455,8.55819411702455,0,10.8476416502469,10.8476416502469,0,50,46.7458235107366,47.8494534443473
1010,8.56347464302269,8.56347464302269,0,10.8579313466854,10.8579313466854,0,50,46.9042392906807,47.9541451065515
1020,8.5684981158259,8.5684981158259,0,10.8677201260799,10.8677201260799,0,50,47.054943474777,48.0537400143093
1030,8.57327704663706,8.57327704663706,0,10.8770323748153,10.8770323748153,0,50,47.1983113991118,48.1484863589252
1040,8.57782333831081,8.57782333831081,0,10.8858912917582,10.8858912917582,0,50,47.3347001493242,48.2386202270513
1050,8.58214831475926,8.58214831475926,0,10.8943189461743,10.8943189461743,0,50,47.4644494427779,48.3243661965735
1060,8.58626274898795,8.58626274898795,0,10.9023363327935,10.9023363327935,0,50,47.5878824696385,48.4059379015366
1070,8.59017688981043,8.59017688981043,0,10.9099634241737,10.9099634241737,0,50,47.7053066943128,48.4835385681931
1080,8.59390048729311,8.59390048729311,0,10.9172192204982,10.9172192204982,0,50,47.8170146187933,48.5573615239857
1090,8.59744281698302,8.59744281698302,0,10.9241217969384,10.9241217969384,0,50,47.9232845094907,48.6275906810679
1100,8.60081270297143,8.60081270297143,0,10.9306883487037,10.9306883487037,0,50,48.0243810891429,48.6944009958034
1110,8.60401853984541,8.60401853984541,0,10.9369352338912,10.9369352338912,0,50,48.1205561953622,48.757958905557
1120,8.6070683135784,8.6070683135784,0,10.9428780142474,10.9428780142474,0,50,48.2120494073519,48.8184227439818
1130,8.60996962140916,8.60996962140916,0,10.9485314939412,10.9485314939412,0,50,48.2990886422748,48.8759431359207
1140,8.61272969075675,8.61272969075675,0,10.9539097564488,10.9539097564488,0,50,48.3818907227024,48.930663372964
1150,8.61535539721733,8.61535539721733,0,10.9590261996404,10.9590261996404,0,50,48.4606619165199,48.9827197706414
1160,8.61785328168681,8.61785328168681,0,10.9638935691588,10.9638935691588,0,50,48.5355984506043,49.0322420081651
1170,8.62022956665122,8.62022956665122,0,10.9685239901724,10.9685239901724,0,50,48.6068869995365,49.0793534515925
1180,8.62249017168498,8.62249017168498,0,10.972928997581,10.972928997581,0,50,48.6747051505493,49.1241714612277
1190,8.6246407281954,8.6246407281954,0,10.9771195647522,10.9771195647522,0,50,48.739221845862,49.1668076840371
1200,8.62668659344983,8.62668659344983,0,10.9811061308573,10.9811061308573,0,50,48.8005978034948,49.2073683318159
1210,8.62863286392026,8.62863286392026,0,10.9848986268773,10.9848986268773,0,50,48.8589859176079,49.2459544458022
1220,8.63048438797861,8.63048438797861,0,10.9885065003424,10.9885065003424,0,50,48.9145316393583,49.2826621484025
1230,8.63224577797403,8.63224577797403,0,10.9919387388668,10.9919387388668,0,50,48.967373339221,49.3175828826579
1240,8.63392142172254,8.63392142172254,0,10.9952038925382,10.9952038925382,0,50,49.0176426516761,49.3508036400484
1250,8.63551549343724,8.63551549343724,0,10.9983100952174,10.9983100952174,0,50,49.0654648031171,49.3824071772063
1260,8.63703196412666,8.63703196412666,0,11.0012650848002,11.0012650848002,0,50,49.1109589237998,49.4124722220768
1270,8.63847461148684,8.63847461148684,0,11.0040762224936,11.0040762224936,0,50,49.1542383446051,49.4410736700414
1280,8.63984702931189,8.63984702931189,0,11.0067505111537,11.0067505111537,0,50,49.1954108793567,49.4682827704936
1290,8.64115263644652,8.64115263644652,0,11.0092946127303,11.0092946127303,0,50,49.2345790933955,49.4941673043306
1300,8.64239468530267,8.64239468530267,0,11.0117148648627,11.0117148648627,0,50,49.27184055908,49.518791752804
1310,8.64357626996163,8.64357626996163,0,11.0140172966674,11.0140172966674,0,50,49.307288098849,49.5422174581512
1320,8.64470033388174,8.64470033388174,0,11.0162076437576,11.0162076437576,0,50,49.3410100164522,49.5645027764059
1330,8.6457696772308,8.6457696772308,0,11.0182913625308,11.0182913625308,0,50,49.373090316924,49.5857032227699
1340,8.64678696386164,8.64678696386164,0,11.0202736437616,11.0202736437616,0,50,49.4036089158492,49.6058716099083
1350,8.64775472794805,8.64775472794805,0,11.0221594255323,11.0221594255323,0,50,49.4326418384414,49.6250581795116
1360,8.64867538029767,8.64867538029767,0,11.0239534055347,11.0239534055347,0,50,49.46026140893,49.6433107274534
1370,8.64955121435759,8.64955121435759,0,11.0256600527717,11.0256600527717,0,50,49.4865364307276,49.6606747228557
1380,8.65038441192758,8.65038441192758,0,11.0272836186911,11.0272836186911,0,50,49.5115323578273,49.6771934213573
1390,8.65117704859519,8.65117704859519,0,11.0288281477755,11.0288281477755,0,50,49.5353114578556,49.6929079728686
1400,8.65193109890625,8.65193109890625,0,11.0302974876182,11.0302974876182,0,50,49.5579329671876,49.7078575240804
1410,8.65264844128373,8.65264844128373,0,11.0316952985078,11.0316952985078,0,50,49.5794532385119,49.7220793159831
1420,8.65333086270704,8.65333086270704,0,11.0330250625462,11.0330250625462,0,50,49.5999258812111,49.7356087766377
1430,8.65398006316362,8.65398006316362,0,11.034290092323,11.034290092323,0,50,49.6194018949087,49.7484796094313
1440,8.65459765988383,8.65459765988383,0,11.0354935391678,11.0354935391678,0,50,49.6379297965148,49.7607238770359
1450,8.65518519136957,8.65518519136957,0,11.0366384010002,11.0366384010002,0,50,49.6555557410872,49.7723720812802
1460,8.65574412122696,8.65574412122696,0,11.0377275297979,11.0377275297979,0,50,49.6723236368087,49.7834532391328
1470,8.65627584181224,8.65627584181224,0,11.0387636387016,11.0387636387016,0,50,49.6882752543672,49.7939949549872
1480,8.65678167770037,8.65678167770037,0,11.0397493087734,11.0397493087734,0,50,49.7034503310112,49.8040234894264
1490,8.65726288898466,8.65726288898466,0,11.0406869954269,11.0406869954269,0,50,49.7178866695397,49.8135638246423
1500,8.65772067441577,8.65772067441577,0,11.0415790345434,11.0415790345434,0,50,49.7316202324731,49.8226397266678
1510,8.65815617438799,8.65815617438799,0,11.0424276482914,11.0424276482914,0,50,49.7446852316398,49.8312738045815
1520,8.65857047378006,8.65857047378006,0,11.0432349506618,11.0432349506618,0,50,49.7571142134017,49.8394875668292
1530,8.6589646046577,8.6589646046577,0,11.0440029527344,11.0440029527344,0,50,49.768938139731,49.8473014748036
1540,8.65933954884465,8.65933954884465,0,11.0447335676875,11.0447335676875,0,50,49.7801864653395,49.854734993816
1550,8.65969624036846,8.65969624036846,0,11.045428615564,11.045428615564,0,50,49.7908872110538,49.8618066415867
1560,8.66003556778728,8.66003556778728,0,11.0460898278052,11.0460898278052,0,50,49.8010670336184,49.8685340343748
1570,8.66035837640334,8.66035837640334,0,11.0467188515642,11.0467188515642,0,50,49.8107512921002,49.8749339308616
1580,8.66066547036871,8.66066547036871,0,11.0473172538089,11.0473172538089,0,50,49.8199641110612,49.8810222738993
1590,8.66095761468851,8.66095761468851,0,11.0478865252256,11.0478865252256,0,50,49.8287284406552,49.8868142302255
1600,8.66123553712664,8.66123553712664,0,11.0484280839327,11.0484280839327,0,50,49.8370661137992,49.8923242282459
1610,8.66149993001873,8.66149993001873,0,11.0489432790128,11.0489432790128,0,50,49.8449979005619,49.8975659939767
1620,8.66175145199679,8.66175145199679,0,11.0494333938742,11.0494333938742,0,50,49.8525435599038,49.9025525852375
1630,8.66199072962997,8.66199072962997,0,11.0498996494472,11.0498996494472,0,50,49.859721888899,49.9072964241804
1640,8.66221835898538,8.66221835898538,0,11.0503432072263,11.0503432072263,0,50,49.8665507695614,49.9118093282342
1650,8.662434907113,8.662434907113,0,11.0507651721629,11.0507651721629,0,50,49.8730472133901,49.9161025395435
1660,8.66264091345823,8.66264091345823,0,11.0511665954187,11.0511665954187,0,50,49.879227403747,49.9201867529738
1670,8.66283689120573,8.66283689120573,0,11.0515484769834,11.0515484769834,0,50,49.885106736172,49.9240721427537
1680,8.6630233285578,8.6630233285578,0,11.0519117681664,11.0519117681664,0,50,49.8906998567339,49.9277683878202
1690,8.66320068995055,8.66320068995055,0,11.0522573739663,11.0522573739663,0,50,49.8960206985166,49.9312846959296
1700,8.6633694172109,8.6633694172109,0,11.0525861553255,11.0525861553255,0,50,49.9010825163271,49.9346298265953
1710,8.66352993065716,8.66352993065716,0,11.0528989312748,11.0528989312748,0,50,49.9058979197148,49.937812112909
1720,8.66368263014613,8.66368263014613,0,11.0531964809738,11.0531964809738,0,50,49.9104789043839,49.9408394822986
1730,8.66382789606917,8.66382789606917,0,11.0534795456518,11.0534795456518,0,50,49.914836882075,49.9437194762773
1740,8.6639660902998,8.6639660902998,0,11.0537488304543,11.0537488304543,0,50,49.918982708994,49.9464592692293
1750,8.66409755709518,8.66409755709518,0,11.0540050061996,11.0540050061996,0,50,49.9229267128555,49.9490656862829
1760,8.66422262395369,8.66422262395369,0,11.0542487110499,11.0542487110499,0,50,49.9266787186106,49.9515452203119
1770,8.66434160243073,8.66434160243073,0,11.0544805521011,11.0544805521011,0,50,49.9302480729218,49.9539040481106
1780,8.66445478891488,8.66445478891488,0,11.0547011068948,11.0547011068948,0,50,49.9336436674465,49.9561480457806
1790,8.66456246536624,8.66456246536624,0,11.0549109248576,11.0549109248576,0,50,49.9368739609872,49.9582828033692
1800,8.66466490001879,8.66466490001879,0,11.0551105286692,11.0551105286692,0,50,49.9399470005636,49.960313638794
