controller,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
P,0.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,10.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,20.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,30.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,40.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,50.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,60.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,70.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,80.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,90.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,100.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,110.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,120.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,130.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,140.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
P,150.0,8.0,9.435406698564593,7.0,1.0,0.3,0.0,0.0,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
