controller,anti_windup_enabled,time_s,supply_temperature_c,return_temperature_c,setpoint_c,control_error_c,proportional_term,integral_error_c_s,integral_term,unrestricted_command,heat_load_kw,mass_flow_kg_s,flow_heat_transfer_kw,requested_cooling_fraction,applied_cooling_fraction,cooling_kw,energy_residual_kj
PI_NO_ANTI_WINDUP,False,0.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,10.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,20.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,30.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,40.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,50.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,60.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,70.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,80.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,90.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
PI_NO_ANTI_WINDUP,False,100.0,7.0,8.435406698564593,7.0,0.0,0.0,300.0,0.3,0.3,30.0,5.0,29.999999999999996,0.3,0.3,30.0,0.0
