time_s,python_supply_temperature_c,simulink_supply_temperature_c,supply_error_c,python_return_temperature_c,simulink_return_temperature_c,return_error_c,python_cooling_fraction,simulink_cooling_fraction,cooling_fraction_error,python_integral_state_c_s,simulink_integral_state_c_s,integral_state_error_c_s
0,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
10,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
20,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
30,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
40,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
50,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
60,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
70,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
80,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
90,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
100,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
110,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
120,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
130,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
140,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
150,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
160,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
170,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
180,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
190,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
200,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
210,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
220,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
230,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
240,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
250,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
260,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
270,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
280,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
290,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
300,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
310,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
320,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
330,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
340,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
350,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
360,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
370,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
380,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
390,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
400,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
410,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
420,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
430,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
440,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
450,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
460,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
470,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
480,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
490,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
500,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
510,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
520,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
530,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
540,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
550,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
560,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
570,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
580,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
590,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
600,7,7,0,8.43540669856459,8.43540669856459,0,0.3,0.3,0,300,300,0
610,7,7,0,8.86602870813397,8.86602870813397,0,0.3,0.3,0,300,300,0
620,7.04306220095694,7.04306220095694,0,9.25358851674641,9.25358851674641,0,0.312918660287081,0.312918660287081,0,300,300,0
630,7.11439298550857,7.11439298550857,0,9.6066985645933,9.6066985645933,0,0.334748517662142,0.334748517662142,0,300.430622009569,300.430622009569,0
640,7.20345678855478,7.20345678855478,0,9.93163068611067,9.93163068611067,0,0.362611588431089,0.362611588431089,0,301.574551864655,301.574551864655,0
650,7.30277581063999,7.30277581063999,0,10.2329759757809,10.2329759757809,0,0.3944418629422,0.3944418629422,0,303.609119750203,303.609119750203,0
660,7.40706766306691,7.40706766306691,0,10.5141186386927,10.5141186386927,0,0.428757176776674,0.428757176776674,0,306.636877856603,306.636877856603,0
670,7.51262578609519,7.51262578609519,0,10.7775762205559,10.7775762205559,0,0.464495290315828,0.464495290315828,0,310.707554487272,310.707554487272,0
680,7.61687427915091,7.61687427915091,0,11.0252438565357,11.0252438565357,0,0.500896096093497,0.500896096093497,0,315.833812348224,315.833812348224,0
690,7.7180480330169,7.7180480330169,0,11.258569578223,11.258569578223,0,0.537416965044803,0.537416965044803,0,322.002555139733,322.002555139733,0
700,7.81496288368833,7.81496288368833,0,11.4786801031283,11.4786801031283,0,0.5736719005764,0.5736719005764,0,329.183035469902,329.183035469902,0
710,7.90685044267711,7.90685044267711,0,11.6864710606101,11.6864710606101,-1.77635683940025e-15,0.609387797109917,0.609387797109917,0,337.332664306785,337.332664306785,0
720,7.99323939580537,7.99323939580537,0,11.8826716782426,11.8826716782426,-1.77635683940025e-15,0.644372987475168,0.644372987475168,0,346.401168733556,346.401168733556,0
730,8.07387018985046,8.07387018985046,0,12.0678911294248,12.0678911294248,-1.77635683940025e-15,0.678494619646747,0.678494619646747,0,356.33356269161,356.33356269161,0
740,8.14863370981423,8.14863370981423,0,12.2426517148932,12.2426517148932,-1.77635683940025e-15,0.711662377534383,0.711662377534383,0,367.072264590115,367.072264590115,0
750,8.21752719571237,8.21752719571237,0,12.4074125938111,12.4074125938111,-1.77635683940025e-15,0.743816760401967,0.743816760401967,0,378.558601688257,378.558601688257,0
760,8.28062254872704,8.28062254872704,0,12.5625867334271,12.5625867334271,-1.77635683940025e-15,0.774920638263493,0.774920638263493,0,390.73387364538,390.73387364538,0
770,8.33804354219059,8.33804354219059,0,12.7085529943829,12.7085529943829,-1.77635683940025e-15,0.804953161789827,0.804953161789827,0,403.540099132651,403.540099132651,0
780,8.38994943392187,8.38994943392187,0,12.8456647285895,12.8456647285895,-1.77635683940025e-15,0.833905364731116,0.833905364731116,0,416.920534554557,416.920534554557,0
790,8.43652318122063,8.43652318122063,-1.77635683940025e-15,12.9742558785486,12.9742558785486,-1.77635683940025e-15,0.861776983259965,0.861776983259965,-5.55111512312578e-16,430.820028893775,430.820028893775,0
800,8.47796296614005,8.47796296614005,-1.77635683940025e-15,13.0946452882416,13.0946452882416,-1.77635683940025e-15,0.888574150547996,0.888574150547996,-4.44089209850063e-16,445.185260705982,445.185260705982,0
810,8.51447610239423,8.51447610239422,-1.77635683940025e-15,13.2071397354573,13.2071397354573,-1.77635683940025e-15,0.91430772108565,0.91430772108565,-6.66133814775094e-16,459.964890367382,459.964890367382,0
820,8.54627465656865,8.54627465656864,-1.77635683940025e-15,13.3120360515768,13.3120360515768,-1.77635683940025e-15,0.938992048361918,0.938992048361917,-6.66133814775094e-16,475.109651391325,475.109651391324,-5.6843418860808e-14
830,8.57357230403027,8.57357230403027,0,13.4096225915019,13.4096225915019,-1.77635683940025e-15,0.962644089166091,0.962644089166091,-2.22044604925031e-16,490.572397957011,490.572397957011,-1.13686837721616e-13
840,8.59658207480322,8.59658207480322,0,13.5001802421805,13.5001802421805,-1.77635683940025e-15,0.985282743438279,0.985282743438279,-1.11022302462516e-16,506.308120997314,506.308120997314,-1.13686837721616e-13
850,8.61551474157048,8.61551474157048,0,13.5839831048686,13.5839831048686,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
860,8.63389267837877,8.63389267837877,0,13.6612989479647,13.6612989479647,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
870,8.65816440581583,8.65816440581583,0,13.7327210004319,13.7327210004319,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
880,8.6871511657559,8.6871511657559,0,13.7994280203961,13.7994280203961,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
890,8.7199099516984,8.7199099516984,0,13.862363014358,13.862363014358,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
900,8.75568635844282,8.75568635844282,0,13.9222803875178,13.9222803875178,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
910,8.79387686182879,8.79387686182879,0,13.9797836640362,13.9797836640362,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
920,8.833998642528,8.833998642528,0,14.0353556632413,14.0353556632413,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
930,8.87566544507779,8.87566544507779,0,14.0893826405958,14.0893826405958,-1.77635683940025e-15,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
940,8.91856826510806,8.91856826510806,0,14.1421736004698,14.1421736004698,0,1,1,0,522.273941745346,522.273941745346,-1.13686837721616e-13
